priority,NCommentT,NActor,meanCommentSize,ticketCleanedBodyLen,nticketsByCreatorOpen,nClosedticketsByCreatorOpen,nCommentsByCreator,NCommentByActorsT,NticketsCreatedInProject,NticketsCreatedInProjectT,NticketsCreatedInProjectClosed,NticketsCreatedInProjectClosedT,NActivityInProject,NActivityInProjectT,chainLength,longTimeHold,lateTriageDays,InitialActivityCount,InitialActionCount,recentActionCount,recentActivityCount,activitysequence,projectCoverage
0,8,8,19.625000,107,0,0,0,0,15,3,15,3,503,103,4,1,6,5.800000,0.000000,0.200000,4.200000,0.096502,0.968216
1,2,7,7.500000,13,4,4,70,0,78,14,78,14,2348,452,1,0,23,1.133333,0.000000,0.000000,0.533333,0.470621,0.219443
1,1,6,6.000000,165,0,0,0,68,5,3,5,3,181,128,0,0,0,0.600000,0.066667,0.000000,0.400000,0.575477,0.108369
1,0,2,0.000000,153,0,0,0,0,0,0,0,0,0,0,1,1,0,0.333333,0.066667,0.000000,0.000000,0.610612,0.902240
1,5,9,12.600000,39,0,0,0,0,1,0,1,0,10,0,4,0,0,1.600000,0.066667,0.000000,0.333333,0.532954,0.962576
1,2,6,39.000000,274,0,0,0,0,83,8,83,8,2674,221,0,0,0,0.400000,0.000000,0.133333,0.666667,0.509905,0.182769
1,17,11,52.588235,303,0,0,0,0,0,0,0,0,0,0,2,0,0,1.933333,0.066667,0.000000,1.133333,0.391682,0.605194
1,2,6,36.500000,32,0,0,1,0,3,0,3,0,70,0,2,0,0,0.666667,0.000000,0.000000,0.133333,0.048881,0.004410
1,3,5,12.000000,26,0,0,0,0,0,0,0,0,0,0,1,0,6,0.866667,0.000000,0.066667,0.600000,0.101999,0.004191
1,2,4,19.000000,56,0,0,0,0,0,0,0,0,0,0,1,0,4,1.333333,0.000000,0.066667,0.200000,0.050599,0.004130
0,0,2,0.000000,74,0,0,0,0,0,0,0,0,0,0,1,1,0,0.200000,0.000000,0.000000,0.800000,0.797405,0.504295
1,8,9,21.500000,45,2,2,0,0,2,1,2,1,34,22,2,0,0,1.400000,0.200000,0.133333,0.866667,0.512667,0.267751
0,3,10,20.666667,127,4,4,10,87,446,70,446,70,11772,1709,1,1,0,1.200000,0.000000,0.000000,0.800000,0.859627,0.069005
1,0,2,0.000000,147,0,0,0,15,18,1,18,1,545,36,1,0,2,0.733333,0.000000,0.000000,0.200000,0.489741,0.432954
2,5,9,41.200000,105,37,36,0,0,2,0,2,0,49,0,4,0,0,0.954545,0.000000,0.090909,0.545455,0.339485,0.963024
0,10,5,12.900000,77,2,2,30,1,8,1,8,1,287,29,0,0,5,4.200000,0.400000,0.600000,4.200000,0.124886,0.231633
0,0,6,0.000000,24,0,0,0,0,2,0,2,0,44,0,1,1,0,1.000000,0.200000,0.000000,1.200000,0.725629,0.215684
2,3,4,20.333333,69,15,15,0,0,31,6,31,6,1041,216,2,0,0,0.590909,0.090909,0.045455,0.181818,0.648378,0.032875
0,4,5,29.750000,31,48,46,89,80,91,29,91,29,2683,854,0,0,0,1.600000,0.200000,0.800000,2.600000,0.104390,0.036582
2,4,5,15.750000,153,50,50,94,16,19,1,18,1,474,15,0,0,0,0.318182,0.000000,0.045455,0.454545,0.193302,0.130892
1,2,4,28.500000,158,0,0,0,0,12,3,12,3,281,78,0,0,7,0.600000,0.066667,0.066667,0.400000,0.613152,0.036252
0,5,5,27.600000,34,0,0,0,0,54,14,54,14,1682,383,0,0,0,2.000000,0.000000,0.200000,1.400000,0.111788,0.206311
1,0,3,0.000000,237,0,0,0,68,0,0,0,0,0,0,1,0,0,0.400000,0.000000,0.000000,0.000000,0.440732,0.970617
1,4,7,21.000000,107,7,7,22,86,4,1,4,1,104,32,2,1,23,0.666667,0.000000,0.066667,0.666667,0.594434,0.826140
0,3,5,15.000000,132,39,31,55,12,15,0,15,0,391,0,2,1,0,1.800000,0.000000,0.200000,2.200000,0.756162,0.018408
1,7,5,69.000000,57,1,1,22,61,92,18,92,18,2966,548,0,0,0,1.066667,0.000000,0.066667,0.600000,0.038355,0.182769
2,9,6,31.000000,15,1,1,9,9,44,6,44,6,1166,156,1,0,0,1.045455,0.363636,0.181818,0.409091,0.413973,0.925781
2,5,7,77.000000,126,34,33,0,0,5,2,5,2,95,47,2,1,0,0.772727,0.136364,0.090909,0.363636,0.383932,0.004133
2,2,5,32.000000,39,0,0,0,0,2,0,2,0,39,0,0,0,0,0.863636,0.090909,0.045455,0.409091,0.057204,0.035812
2,0,2,0.000000,77,0,0,0,0,8,0,8,0,259,0,0,0,0,0.227273,0.000000,0.000000,0.181818,0.252937,0.087777
2,0,4,0.000000,186,0,0,102,41,10,4,10,4,231,81,0,0,0,0.409091,0.000000,0.000000,0.136364,0.785317,0.097292
1,5,7,30.000000,153,1,1,0,0,41,23,41,23,1404,971,0,0,25,1.200000,0.133333,0.066667,0.333333,0.119535,0.098393
1,0,3,0.000000,70,10,10,127,127,89,14,89,14,2937,524,0,0,0,0.333333,0.133333,0.000000,0.000000,0.035302,0.357736
0,2,4,22.000000,59,0,0,7,2,1,1,1,1,39,39,0,0,14,1.200000,0.200000,0.000000,1.000000,0.275268,0.199105
1,4,3,20.500000,58,0,0,0,0,20,1,20,1,629,26,1,0,0,0.866667,0.066667,0.066667,0.466667,0.044836,0.005295
2,0,5,0.000000,82,3,3,21,11,23,2,23,2,815,35,0,0,60,0.272727,0.000000,0.045455,0.454545,0.095617,0.357736
