ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity
9.011480,167.918922,34865.357682,3.139553,400.691774,385.409608,16.574190,50.526551,4.270801
7.889579,153.569738,41210.666981,8.457639,294.260076,354.482689,11.292575,67.354769,3.227360
5.895949,187.153617,37118.255436,4.600730,253.158469,531.169101,11.410184,77.286551,3.659653
5.329939,196.034623,24000.523144,5.729575,335.092322,511.705187,18.588091,68.458037,5.799322
7.535700,221.792481,14829.745971,6.701159,366.412200,583.436488,17.731882,59.686076,4.208354
7.672910,152.878305,22989.351184,6.231913,343.439017,401.140879,14.252684,64.291292,4.268227
9.868878,214.166235,15326.855914,3.351598,297.084174,424.292831,19.188441,70.070514,3.355490
5.945989,151.685797,12356.905622,7.894120,342.029115,471.122125,15.725467,57.683067,3.793329
6.242414,191.908730,28149.411792,7.130437,319.306785,448.242527,19.370091,60.939481,4.508705
6.704635,230.766940,9727.761716,5.943695,223.235816,405.761571,12.826509,74.385199,3.422179
8.174028,192.390430,19808.537766,6.955821,377.700189,503.522172,13.780973,59.542769,3.986781
5.456681,219.519886,20967.840610,6.826782,355.082878,312.019840,14.029285,57.852507,3.799473
4.704184,169.943914,7028.839617,8.987043,317.829814,289.537529,8.069436,63.664949,4.138994
6.980727,200.467226,30862.784459,6.196276,391.666878,422.489596,9.066902,48.250468,5.437619
6.626012,112.299485,25839.894104,7.658747,312.247043,327.248079,19.409147,85.785103,4.194313
9.062822,246.629701,27959.926161,5.649971,308.780769,434.395439,21.142053,44.149348,3.730370
6.912608,155.740495,17973.178859,4.916303,275.908228,439.648051,18.380712,55.507468,2.612249
9.769251,264.265654,8471.677381,8.349710,359.268543,353.196475,15.047087,52.645459,4.636556
7.717077,211.681327,21400.016496,6.987854,268.944957,495.914919,11.440747,85.051546,4.967976
6.316471,187.030116,32651.802764,8.149178,314.208346,463.341217,14.243421,60.269180,4.902735
6.582500,200.733107,23720.481730,8.565832,353.008115,458.362733,13.001881,79.529338,4.152014
6.908272,211.105551,19224.986280,6.379970,307.102206,323.885454,21.208477,71.920988,5.405567
7.795958,239.278255,27849.142088,6.475994,356.170702,484.104784,18.692248,50.128415,4.251876
10.695532,220.451078,10571.770377,6.521422,295.976094,414.256086,14.774801,58.735933,4.154845
